YEAR,DATE_,SITE,LATITUDE,LONGITUDE,MAX_DEPTH_M,SURVEYAREA,COL_COUNT
2025,,TUT-077,-14.304935,-170.596438,17.3736,180,0
2025,,TUT-083,-14.332102,-170.697197,14.3256,180,0
2025,,TUT-086,-14.27703,-170.611737,15.5448,180,4
2025,,TUT-098,-14.314128,-170.652116,16.1544,180,3
2025,,TUT-126,-14.336157,-170.796416,13.716,180,89
2025,,TUT-139,-14.352648,-170.787165,11.8872,180,56
2025,,TUT-157,-14.274192,-170.619785,15.5448,180,19
2025,,TUT-171,-14.332425,-170.824373,14.6304,180,207
2025,,TUT-214,-14.28309,-170.607,14.3256,180,498
2025,,TUT-216,-14.329052,-170.831801,14.0208,180,89
2025,,TUT-219,-14.28823,-170.639848,14.0208,180,16
2025,,TUT-220,-14.300247,-170.681886,12.8016,180,13
2025,,TUT-221,-14.362476,-170.746348,13.716,180,0
2025,,TUT-222,-14.363787,-170.772574,15.24,180,412
2025,,TUT-223,-14.35909,-170.785248,12.4968,180,274
